valueset_pk,language_pk,parameter_pk,parameter_name,parameter_description,type_pk,variety_type,abbr,language_name,value_pk,domainelement_pk,attestation
4715,53,64,Use of definite article where StE favours zero,"He was appointed sales representative at the Nestlé, Ghana Ltd.; Do they keep the goats?; Poor people were starved with the hunger",3,L2,PakE,Pakistani English,4715,380,B
4720,58,64,Use of definite article where StE favours zero,"He was appointed sales representative at the Nestlé, Ghana Ltd.; Do they keep the goats?; Poor people were starved with the hunger",3,L2,MalE,Malaysian English,4720,380,B
4729,67,64,Use of definite article where StE favours zero,"He was appointed sales representative at the Nestlé, Ghana Ltd.; Do they keep the goats?; Poor people were starved with the hunger",3,L2,FijiE,Acrolectal Fiji English,4729,380,B
17454,75,64,Use of definite article where StE favours zero,"He was appointed sales representative at the Nestlé, Ghana Ltd.; Do they keep the goats?; Poor people were starved with the hunger",2,L1c,PhilE,Philippine English,17454,380,B
4737,1,65,Use of indefinite article where StE favours zero,about a three fields,1,L1t,O&SE,Orkney and Shetland English,4737,388,D
4738,2,65,Use of indefinite article where StE favours zero,about a three fields,1,L1t,ScE,Scottish English,4738,388,D
4739,3,65,Use of indefinite article where StE favours zero,about a three fields,2,L1c,IrE,Irish English,4739,388,D
4740,4,65,Use of indefinite article where StE favours zero,about a three fields,2,L1c,ManxE,Manx English,4740,388,D
4741,5,65,Use of indefinite article where StE favours zero,about a three fields,2,L1c,WelE,Welsh English,4741,388,D
4744,8,65,Use of indefinite article where StE favours zero,about a three fields,1,L1t,EA,East Anglian English,4744,388,D
4745,9,65,Use of indefinite article where StE favours zero,about a three fields,1,L1t,SE,English dialects in the Southeast of England,4745,388,D
4746,10,65,Use of indefinite article where StE favours zero,about a three fields,2,L1c,ChIsE,Channel Islands English,4746,388,D
4751,15,65,Use of indefinite article where StE favours zero,about a three fields,2,L1c,UAAVE,Urban African American Vernacular English,4751,388,D
4752,16,65,Use of indefinite article where StE favours zero,about a three fields,2,L1c,RAAVE,Rural African American Vernacular English,4752,388,D
4753,17,65,Use of indefinite article where StE favours zero,about a three fields,2,L1c,EAAVE,Earlier African American Vernacular English,4753,388,D
4754,18,65,Use of indefinite article where StE favours zero,about a three fields,1,L1t,OzE,Ozark English,4754,388,D
4755,19,65,Use of indefinite article where StE favours zero,about a three fields,1,L1t,AppE,Appalachian English,4755,388,D
4756,20,65,Use of indefinite article where StE favours zero,about a three fields,1,L1t,SEAmE,Southeast American enclave dialects,4756,388,D
4758,22,65,Use of indefinite article where StE favours zero,about a three fields,3,L2,ChcE,Chicano English,4758,388,D
4759,23,65,Use of indefinite article where StE favours zero,about a three fields,2,L1c,BahE,Bahamian English,4759,388,D
4773,37,65,Use of indefinite article where StE favours zero,about a three fields,2,L1c,LibSE,Liberian Settler English,4773,388,D
4775,39,65,Use of indefinite article where StE favours zero,about a three fields,3,L2,GhE,Ghanaian English,4775,388,D
4777,41,65,Use of indefinite article where StE favours zero,about a three fields,3,L2,NigE,Nigerian English,4777,388,D
4779,43,65,Use of indefinite article where StE favours zero,about a three fields,3,L2,CamE,Cameroon English,4779,388,D
4783,47,65,Use of indefinite article where StE favours zero,about a three fields,3,L2,UgE,Ugandan English,4783,388,D
4784,48,65,Use of indefinite article where StE favours zero,about a three fields,2,L1c,WhZimE,White Zimbabwean English,4784,388,D
4787,51,65,Use of indefinite article where StE favours zero,about a three fields,2,L1c,WhSAfE,White South African English,4787,388,D
4788,52,65,Use of indefinite article where StE favours zero,about a three fields,3,L2,IndE,Indian English,4788,388,D
4791,55,65,Use of indefinite article where StE favours zero,about a three fields,3,L2,SLkE,Sri Lankan English,4791,388,D
4792,56,65,Use of indefinite article where StE favours zero,about a three fields,3,L2,HKE,Hong Kong English,4792,388,D
4793,57,65,Use of indefinite article where StE favours zero,about a three fields,2,L1c,CollSgE,Colloquial Singapore English (Singlish),4793,388,D
4794,58,65,Use of indefinite article where StE favours zero,about a three fields,3,L2,MalE,Malaysian English,4794,388,D
4800,64,65,Use of indefinite article where StE favours zero,about a three fields,2,L1c,NZE,New Zealand English,4800,388,D
4808,72,65,Use of indefinite article where StE favours zero,about a three fields,2,L1c,FlkE,Falkland Islands English,4808,388,D
4809,73,65,Use of indefinite article where StE favours zero,about a three fields,2,L1c,StHE,St. Helena English,4809,388,D
4810,74,65,Use of indefinite article where StE favours zero,about a three fields,2,L1c,TdCE,Tristan da Cunha English,4810,388,D
17690,76,65,Use of indefinite article where StE favours zero,about a three fields,3,L2,CFE,Cape Flats English,17690,388,D
4811,1,66,Indefinite article one/wan,They seen one [‘a’] green snake tangled round a tree; Di uman sel wan mango,1,L1t,O&SE,Orkney and Shetland English,4811,394,D
4812,2,66,Indefinite article one/wan,They seen one [‘a’] green snake tangled round a tree; Di uman sel wan mango,1,L1t,ScE,Scottish English,4812,394,D
4814,4,66,Indefinite article one/wan,They seen one [‘a’] green snake tangled round a tree; Di uman sel wan mango,2,L1c,ManxE,Manx English,4814,394,D
4815,5,66,Indefinite article one/wan,They seen one [‘a’] green snake tangled round a tree; Di uman sel wan mango,2,L1c,WelE,Welsh English,4815,394,D
4816,6,66,Indefinite article one/wan,They seen one [‘a’] green snake tangled round a tree; Di uman sel wan mango,1,L1t,North,English dialects in the North of England,4816,394,D
4818,8,66,Indefinite article one/wan,They seen one [‘a’] green snake tangled round a tree; Di uman sel wan mango,1,L1t,EA,East Anglian English,4818,394,D
4819,9,66,Indefinite article one/wan,They seen one [‘a’] green snake tangled round a tree; Di uman sel wan mango,1,L1t,SE,English dialects in the Southeast of England,4819,394,D
4820,10,66,Indefinite article one/wan,They seen one [‘a’] green snake tangled round a tree; Di uman sel wan mango,2,L1c,ChIsE,Channel Islands English,4820,394,D
4822,12,66,Indefinite article one/wan,They seen one [‘a’] green snake tangled round a tree; Di uman sel wan mango,2,L1c,MaltE,Maltese English,4822,394,D
4823,13,66,Indefinite article one/wan,They seen one [‘a’] green snake tangled round a tree; Di uman sel wan mango,1,L1t,NfldE,Newfoundland English,4823,394,D
4829,19,66,Indefinite article one/wan,They seen one [‘a’] green snake tangled round a tree; Di uman sel wan mango,1,L1t,AppE,Appalachian English,4829,394,D
4851,41,66,Indefinite article one/wan,They seen one [‘a’] green snake tangled round a tree; Di uman sel wan mango,3,L2,NigE,Nigerian English,4851,394,D
4857,47,66,Indefinite article one/wan,They seen one [‘a’] green snake tangled round a tree; Di uman sel wan mango,3,L2,UgE,Ugandan English,4857,394,D
4861,51,66,Indefinite article one/wan,They seen one [‘a’] green snake tangled round a tree; Di uman sel wan mango,2,L1c,WhSAfE,White South African English,4861,394,D
4865,55,66,Indefinite article one/wan,They seen one [‘a’] green snake tangled round a tree; Di uman sel wan mango,3,L2,SLkE,Sri Lankan English,4865,394,D
4868,58,66,Indefinite article one/wan,They seen one [‘a’] green snake tangled round a tree; Di uman sel wan mango,3,L2,MalE,Malaysian English,4868,394,D
4874,64,66,Indefinite article one/wan,They seen one [‘a’] green snake tangled round a tree; Di uman sel wan mango,2,L1c,NZE,New Zealand English,4874,394,D
4882,72,66,Indefinite article one/wan,They seen one [‘a’] green snake tangled round a tree; Di uman sel wan mango,2,L1c,FlkE,Falkland Islands English,4882,394,D
17691,76,66,Indefinite article one/wan,They seen one [‘a’] green snake tangled round a tree; Di uman sel wan mango,3,L2,CFE,Cape Flats English,17691,394,D
4885,1,67,Demonstratives for definite articles,That door bin close ‘the door closed’,1,L1t,O&SE,Orkney and Shetland English,4885,400,D
4886,2,67,Demonstratives for definite articles,That door bin close ‘the door closed’,1,L1t,ScE,Scottish English,4886,400,D
4887,3,67,Demonstratives for definite articles,That door bin close ‘the door closed’,2,L1c,IrE,Irish English,4887,400,D
4888,4,67,Demonstratives for definite articles,That door bin close ‘the door closed’,2,L1c,ManxE,Manx English,4888,400,D
4889,5,67,Demonstratives for definite articles,That door bin close ‘the door closed’,2,L1c,WelE,Welsh English,4889,400,D
4890,6,67,Demonstratives for definite articles,That door bin close ‘the door closed’,1,L1t,North,English dialects in the North of England,4890,400,D
4892,8,67,Demonstratives for definite articles,That door bin close ‘the door closed’,1,L1t,EA,East Anglian English,4892,400,D
4893,9,67,Demonstratives for definite articles,That door bin close ‘the door closed’,1,L1t,SE,English dialects in the Southeast of England,4893,400,D
4894,10,67,Demonstratives for definite articles,That door bin close ‘the door closed’,2,L1c,ChIsE,Channel Islands English,4894,400,D
4897,13,67,Demonstratives for definite articles,That door bin close ‘the door closed’,1,L1t,NfldE,Newfoundland English,4897,400,D
4902,18,67,Demonstratives for definite articles,That door bin close ‘the door closed’,1,L1t,OzE,Ozark English,4902,400,D
4903,19,67,Demonstratives for definite articles,That door bin close ‘the door closed’,1,L1t,AppE,Appalachian English,4903,400,D
4921,37,67,Demonstratives for definite articles,That door bin close ‘the door closed’,2,L1c,LibSE,Liberian Settler English,4921,400,D
4923,39,67,Demonstratives for definite articles,That door bin close ‘the door closed’,3,L2,GhE,Ghanaian English,4923,400,D
4925,41,67,Demonstratives for definite articles,That door bin close ‘the door closed’,3,L2,NigE,Nigerian English,4925,400,D
4927,43,67,Demonstratives for definite articles,That door bin close ‘the door closed’,3,L2,CamE,Cameroon English,4927,400,D
4930,46,67,Demonstratives for definite articles,That door bin close ‘the door closed’,3,L2,KenE,Kenyan English,4930,400,D
4931,47,67,Demonstratives for definite articles,That door bin close ‘the door closed’,3,L2,UgE,Ugandan English,4931,400,D
4935,51,67,Demonstratives for definite articles,That door bin close ‘the door closed’,2,L1c,WhSAfE,White South African English,4935,400,D
4939,55,67,Demonstratives for definite articles,That door bin close ‘the door closed’,3,L2,SLkE,Sri Lankan English,4939,400,D
4942,58,67,Demonstratives for definite articles,That door bin close ‘the door closed’,3,L2,MalE,Malaysian English,4942,400,D
4948,64,67,Demonstratives for definite articles,That door bin close ‘the door closed’,2,L1c,NZE,New Zealand English,4948,400,D
4956,72,67,Demonstratives for definite articles,That door bin close ‘the door closed’,2,L1c,FlkE,Falkland Islands English,4956,400,D
17692,76,67,Demonstratives for definite articles,That door bin close ‘the door closed’,3,L2,CFE,Cape Flats English,17692,400,D
4959,1,68,Them instead of demonstrative those,"in them days, one of them things",1,L1t,O&SE,Orkney and Shetland English,4959,406,D
4997,39,68,Them instead of demonstrative those,"in them days, one of them things",3,L2,GhE,Ghanaian English,4997,406,D
4999,41,68,Them instead of demonstrative those,"in them days, one of them things",3,L2,NigE,Nigerian English,4999,406,D
5001,43,68,Them instead of demonstrative those,"in them days, one of them things",3,L2,CamE,Cameroon English,5001,406,D
5005,47,68,Them instead of demonstrative those,"in them days, one of them things",3,L2,UgE,Ugandan English,5005,406,D
5007,49,68,Them instead of demonstrative those,"in them days, one of them things",3,L2,BlSAfE,Black South African English,5007,406,D
5009,51,68,Them instead of demonstrative those,"in them days, one of them things",2,L1c,WhSAfE,White South African English,5009,406,D
5010,52,68,Them instead of demonstrative those,"in them days, one of them things",3,L2,IndE,Indian English,5010,406,D
5011,53,68,Them instead of demonstrative those,"in them days, one of them things",3,L2,PakE,Pakistani English,5011,406,D
5013,55,68,Them instead of demonstrative those,"in them days, one of them things",3,L2,SLkE,Sri Lankan English,5013,406,D
5014,56,68,Them instead of demonstrative those,"in them days, one of them things",3,L2,HKE,Hong Kong English,5014,406,D
5015,57,68,Them instead of demonstrative those,"in them days, one of them things",2,L1c,CollSgE,Colloquial Singapore English (Singlish),5015,406,D
5016,58,68,Them instead of demonstrative those,"in them days, one of them things",3,L2,MalE,Malaysian English,5016,406,D
5025,67,68,Them instead of demonstrative those,"in them days, one of them things",3,L2,FijiE,Acrolectal Fiji English,5025,406,D
17458,75,68,Them instead of demonstrative those,"in them days, one of them things",2,L1c,PhilE,Philippine English,17458,406,D
17693,76,68,Them instead of demonstrative those,"in them days, one of them things",3,L2,CFE,Cape Flats English,17693,406,D
5033,1,69,Yon/yonder indicating remoteness,yon oil company; yon muckle Concorde; Wi his sair foot he would never could climb yon stairs,1,L1t,O&SE,Orkney and Shetland English,5033,409,A
5107,1,70,Proximal and distal demonstratives with  ʼhereʼ and  ʼthereʼ,this here book vs. them there books; Dis man (ya) lek dem trosis (de),1,L1t,O&SE,Orkney and Shetland English,5107,418,D
5108,2,70,Proximal and distal demonstratives with  ʼhereʼ and  ʼthereʼ,this here book vs. them there books; Dis man (ya) lek dem trosis (de),1,L1t,ScE,Scottish English,5108,418,D
5116,10,70,Proximal and distal demonstratives with  ʼhereʼ and  ʼthereʼ,this here book vs. them there books; Dis man (ya) lek dem trosis (de),2,L1c,ChIsE,Channel Islands English,5116,418,D
5118,12,70,Proximal and distal demonstratives with  ʼhereʼ and  ʼthereʼ,this here book vs. them there books; Dis man (ya) lek dem trosis (de),2,L1c,MaltE,Maltese English,5118,418,D
5143,37,70,Proximal and distal demonstratives with  ʼhereʼ and  ʼthereʼ,this here book vs. them there books; Dis man (ya) lek dem trosis (de),2,L1c,LibSE,Liberian Settler English,5143,418,D
5145,39,70,Proximal and distal demonstratives with  ʼhereʼ and  ʼthereʼ,this here book vs. them there books; Dis man (ya) lek dem trosis (de),3,L2,GhE,Ghanaian English,5145,418,D
5147,41,70,Proximal and distal demonstratives with  ʼhereʼ and  ʼthereʼ,this here book vs. them there books; Dis man (ya) lek dem trosis (de),3,L2,NigE,Nigerian English,5147,418,D
5149,43,70,Proximal and distal demonstratives with  ʼhereʼ and  ʼthereʼ,this here book vs. them there books; Dis man (ya) lek dem trosis (de),3,L2,CamE,Cameroon English,5149,418,D
5152,46,70,Proximal and distal demonstratives with  ʼhereʼ and  ʼthereʼ,this here book vs. them there books; Dis man (ya) lek dem trosis (de),3,L2,KenE,Kenyan English,5152,418,D
5153,47,70,Proximal and distal demonstratives with  ʼhereʼ and  ʼthereʼ,this here book vs. them there books; Dis man (ya) lek dem trosis (de),3,L2,UgE,Ugandan English,5153,418,D
5154,48,70,Proximal and distal demonstratives with  ʼhereʼ and  ʼthereʼ,this here book vs. them there books; Dis man (ya) lek dem trosis (de),2,L1c,WhZimE,White Zimbabwean English,5154,418,D
5155,49,70,Proximal and distal demonstratives with  ʼhereʼ and  ʼthereʼ,this here book vs. them there books; Dis man (ya) lek dem trosis (de),3,L2,BlSAfE,Black South African English,5155,418,D
5156,50,70,Proximal and distal demonstratives with  ʼhereʼ and  ʼthereʼ,this here book vs. them there books; Dis man (ya) lek dem trosis (de),3,L2,InSAfE,Indian South African English,5156,418,D
5157,51,70,Proximal and distal demonstratives with  ʼhereʼ and  ʼthereʼ,this here book vs. them there books; Dis man (ya) lek dem trosis (de),2,L1c,WhSAfE,White South African English,5157,418,D
5158,52,70,Proximal and distal demonstratives with  ʼhereʼ and  ʼthereʼ,this here book vs. them there books; Dis man (ya) lek dem trosis (de),3,L2,IndE,Indian English,5158,418,D
5159,53,70,Proximal and distal demonstratives with  ʼhereʼ and  ʼthereʼ,this here book vs. them there books; Dis man (ya) lek dem trosis (de),3,L2,PakE,Pakistani English,5159,418,D
5161,55,70,Proximal and distal demonstratives with  ʼhereʼ and  ʼthereʼ,this here book vs. them there books; Dis man (ya) lek dem trosis (de),3,L2,SLkE,Sri Lankan English,5161,418,D
5162,56,70,Proximal and distal demonstratives with  ʼhereʼ and  ʼthereʼ,this here book vs. them there books; Dis man (ya) lek dem trosis (de),3,L2,HKE,Hong Kong English,5162,418,D
5163,57,70,Proximal and distal demonstratives with  ʼhereʼ and  ʼthereʼ,this here book vs. them there books; Dis man (ya) lek dem trosis (de),2,L1c,CollSgE,Colloquial Singapore English (Singlish),5163,418,D
5164,58,70,Proximal and distal demonstratives with  ʼhereʼ and  ʼthereʼ,this here book vs. them there books; Dis man (ya) lek dem trosis (de),3,L2,MalE,Malaysian English,5164,418,D
5170,64,70,Proximal and distal demonstratives with  ʼhereʼ and  ʼthereʼ,this here book vs. them there books; Dis man (ya) lek dem trosis (de),2,L1c,NZE,New Zealand English,5170,418,D
5173,67,70,Proximal and distal demonstratives with  ʼhereʼ and  ʼthereʼ,this here book vs. them there books; Dis man (ya) lek dem trosis (de),3,L2,FijiE,Acrolectal Fiji English,5173,418,D
5178,72,70,Proximal and distal demonstratives with  ʼhereʼ and  ʼthereʼ,this here book vs. them there books; Dis man (ya) lek dem trosis (de),2,L1c,FlkE,Falkland Islands English,5178,418,D
17460,75,70,Proximal and distal demonstratives with  ʼhereʼ and  ʼthereʼ,this here book vs. them there books; Dis man (ya) lek dem trosis (de),2,L1c,PhilE,Philippine English,17460,418,D
17695,76,70,Proximal and distal demonstratives with  ʼhereʼ and  ʼthereʼ,this here book vs. them there books; Dis man (ya) lek dem trosis (de),3,L2,CFE,Cape Flats English,17695,418,D
5181,1,71,No number distinction in demonstratives,I’ve watched this children .,1,L1t,O&SE,Orkney and Shetland English,5181,421,A
5230,50,71,No number distinction in demonstratives,I’ve watched this children .,3,L2,InSAfE,Indian South African English,5230,421,A
5236,56,71,No number distinction in demonstratives,I’ve watched this children .,3,L2,HKE,Hong Kong English,5236,421,A
5238,58,71,No number distinction in demonstratives,I’ve watched this children .,3,L2,MalE,Malaysian English,5238,421,A
17696,76,71,No number distinction in demonstratives,I’ve watched this children .,3,L2,CFE,Cape Flats English,17696,421,A
5255,1,72,Group genitives,The man I metʼs girlfriend is a real beauty(rather than The girlfriend of the man I met is a real beauty),1,L1t,O&SE,Orkney and Shetland English,5255,432,?
5261,7,72,Group genitives,The man I metʼs girlfriend is a real beauty(rather than The girlfriend of the man I met is a real beauty),1,L1t,SW,English dialects in the Southwest of England,5261,432,?
5263,9,72,Group genitives,The man I metʼs girlfriend is a real beauty(rather than The girlfriend of the man I met is a real beauty),1,L1t,SE,English dialects in the Southeast of England,5263,432,?
5266,12,72,Group genitives,The man I metʼs girlfriend is a real beauty(rather than The girlfriend of the man I met is a real beauty),2,L1c,MaltE,Maltese English,5266,432,?
5276,22,72,Group genitives,The man I metʼs girlfriend is a real beauty(rather than The girlfriend of the man I met is a real beauty),3,L2,ChcE,Chicano English,5276,432,?
5280,26,72,Group genitives,The man I metʼs girlfriend is a real beauty(rather than The girlfriend of the man I met is a real beauty),3,L2,JamE,Jamaican English,5280,432,?
5313,59,72,Group genitives,The man I metʼs girlfriend is a real beauty(rather than The girlfriend of the man I met is a real beauty),2,L1c,AusE,Australian English,5313,432,?
5322,68,72,Group genitives,The man I metʼs girlfriend is a real beauty(rather than The girlfriend of the man I met is a real beauty),3,L2,CollFijiE,Pure Fiji English (basilectal FijiE),5322,432,?
5329,1,73,Existential construction to express possessive,Mà mòto de. [lit.: my car exist] ‘I have a car.’,1,L1t,O&SE,Orkney and Shetland English,5329,436,D
5330,2,73,Existential construction to express possessive,Mà mòto de. [lit.: my car exist] ‘I have a car.’,1,L1t,ScE,Scottish English,5330,436,D
5331,3,73,Existential construction to express possessive,Mà mòto de. [lit.: my car exist] ‘I have a car.’,2,L1c,IrE,Irish English,5331,436,D
5333,5,73,Existential construction to express possessive,Mà mòto de. [lit.: my car exist] ‘I have a car.’,2,L1c,WelE,Welsh English,5333,436,D
5336,8,73,Existential construction to express possessive,Mà mòto de. [lit.: my car exist] ‘I have a car.’,1,L1t,EA,East Anglian English,5336,436,D
5337,9,73,Existential construction to express possessive,Mà mòto de. [lit.: my car exist] ‘I have a car.’,1,L1t,SE,English dialects in the Southeast of England,5337,436,D
5338,10,73,Existential construction to express possessive,Mà mòto de. [lit.: my car exist] ‘I have a car.’,2,L1c,ChIsE,Channel Islands English,5338,436,D
5340,12,73,Existential construction to express possessive,Mà mòto de. [lit.: my car exist] ‘I have a car.’,2,L1c,MaltE,Maltese English,5340,436,D
5341,13,73,Existential construction to express possessive,Mà mòto de. [lit.: my car exist] ‘I have a car.’,1,L1t,NfldE,Newfoundland English,5341,436,D
5343,15,73,Existential construction to express possessive,Mà mòto de. [lit.: my car exist] ‘I have a car.’,2,L1c,UAAVE,Urban African American Vernacular English,5343,436,D
5344,16,73,Existential construction to express possessive,Mà mòto de. [lit.: my car exist] ‘I have a car.’,2,L1c,RAAVE,Rural African American Vernacular English,5344,436,D
5345,17,73,Existential construction to express possessive,Mà mòto de. [lit.: my car exist] ‘I have a car.’,2,L1c,EAAVE,Earlier African American Vernacular English,5345,436,D
5347,19,73,Existential construction to express possessive,Mà mòto de. [lit.: my car exist] ‘I have a car.’,1,L1t,AppE,Appalachian English,5347,436,D
5348,20,73,Existential construction to express possessive,Mà mòto de. [lit.: my car exist] ‘I have a car.’,1,L1t,SEAmE,Southeast American enclave dialects,5348,436,D
5351,23,73,Existential construction to express possessive,Mà mòto de. [lit.: my car exist] ‘I have a car.’,2,L1c,BahE,Bahamian English,5351,436,D
5354,26,73,Existential construction to express possessive,Mà mòto de. [lit.: my car exist] ‘I have a car.’,3,L2,JamE,Jamaican English,5354,436,D
5365,37,73,Existential construction to express possessive,Mà mòto de. [lit.: my car exist] ‘I have a car.’,2,L1c,LibSE,Liberian Settler English,5365,436,D
5367,39,73,Existential construction to express possessive,Mà mòto de. [lit.: my car exist] ‘I have a car.’,3,L2,GhE,Ghanaian English,5367,436,D
5369,41,73,Existential construction to express possessive,Mà mòto de. [lit.: my car exist] ‘I have a car.’,3,L2,NigE,Nigerian English,5369,436,D
5371,43,73,Existential construction to express possessive,Mà mòto de. [lit.: my car exist] ‘I have a car.’,3,L2,CamE,Cameroon English,5371,436,D
5375,47,73,Existential construction to express possessive,Mà mòto de. [lit.: my car exist] ‘I have a car.’,3,L2,UgE,Ugandan English,5375,436,D
5377,49,73,Existential construction to express possessive,Mà mòto de. [lit.: my car exist] ‘I have a car.’,3,L2,BlSAfE,Black South African English,5377,436,D
5378,50,73,Existential construction to express possessive,Mà mòto de. [lit.: my car exist] ‘I have a car.’,3,L2,InSAfE,Indian South African English,5378,436,D
5379,51,73,Existential construction to express possessive,Mà mòto de. [lit.: my car exist] ‘I have a car.’,2,L1c,WhSAfE,White South African English,5379,436,D
5381,53,73,Existential construction to express possessive,Mà mòto de. [lit.: my car exist] ‘I have a car.’,3,L2,PakE,Pakistani English,5381,436,D
5383,55,73,Existential construction to express possessive,Mà mòto de. [lit.: my car exist] ‘I have a car.’,3,L2,SLkE,Sri Lankan English,5383,436,D
5384,56,73,Existential construction to express possessive,Mà mòto de. [lit.: my car exist] ‘I have a car.’,3,L2,HKE,Hong Kong English,5384,436,D
5385,57,73,Existential construction to express possessive,Mà mòto de. [lit.: my car exist] ‘I have a car.’,2,L1c,CollSgE,Colloquial Singapore English (Singlish),5385,436,D
5386,58,73,Existential construction to express possessive,Mà mòto de. [lit.: my car exist] ‘I have a car.’,3,L2,MalE,Malaysian English,5386,436,D
5389,61,73,Existential construction to express possessive,Mà mòto de. [lit.: my car exist] ‘I have a car.’,2,L1c,AborE,Aboriginal English,5389,436,D
5392,64,73,Existential construction to express possessive,Mà mòto de. [lit.: my car exist] ‘I have a car.’,2,L1c,NZE,New Zealand English,5392,436,D
5396,68,73,Existential construction to express possessive,Mà mòto de. [lit.: my car exist] ‘I have a car.’,3,L2,CollFijiE,Pure Fiji English (basilectal FijiE),5396,436,D
5400,72,73,Existential construction to express possessive,Mà mòto de. [lit.: my car exist] ‘I have a car.’,2,L1c,FlkE,Falkland Islands English,5400,436,D
5401,73,73,Existential construction to express possessive,Mà mòto de. [lit.: my car exist] ‘I have a car.’,2,L1c,StHE,St. Helena English,5401,436,D
5402,74,73,Existential construction to express possessive,Mà mòto de. [lit.: my car exist] ‘I have a car.’,2,L1c,TdCE,Tristan da Cunha English,5402,436,D
17463,75,73,Existential construction to express possessive,Mà mòto de. [lit.: my car exist] ‘I have a car.’,2,L1c,PhilE,Philippine English,17463,436,D
17698,76,73,Existential construction to express possessive,Mà mòto de. [lit.: my car exist] ‘I have a car.’,3,L2,CFE,Cape Flats English,17698,436,D
5403,1,74,Phrases with for + noun to express possession: for-phrase following possessed NP,nayf for Chinyere ‘Chinyereʼs knife’; aa kau fe mais bradhas ‘that cow of my brother’; the house for me ‘my house’,1,L1t,O&SE,Orkney and Shetland English,5403,442,D
5404,2,74,Phrases with for + noun to express possession: for-phrase following possessed NP,nayf for Chinyere ‘Chinyereʼs knife’; aa kau fe mais bradhas ‘that cow of my brother’; the house for me ‘my house’,1,L1t,ScE,Scottish English,5404,442,D
5405,3,74,Phrases with for + noun to express possession: for-phrase following possessed NP,nayf for Chinyere ‘Chinyereʼs knife’; aa kau fe mais bradhas ‘that cow of my brother’; the house for me ‘my house’,2,L1c,IrE,Irish English,5405,442,D
5406,4,74,Phrases with for + noun to express possession: for-phrase following possessed NP,nayf for Chinyere ‘Chinyereʼs knife’; aa kau fe mais bradhas ‘that cow of my brother’; the house for me ‘my house’,2,L1c,ManxE,Manx English,5406,442,D
5407,5,74,Phrases with for + noun to express possession: for-phrase following possessed NP,nayf for Chinyere ‘Chinyereʼs knife’; aa kau fe mais bradhas ‘that cow of my brother’; the house for me ‘my house’,2,L1c,WelE,Welsh English,5407,442,D
5408,6,74,Phrases with for + noun to express possession: for-phrase following possessed NP,nayf for Chinyere ‘Chinyereʼs knife’; aa kau fe mais bradhas ‘that cow of my brother’; the house for me ‘my house’,1,L1t,North,English dialects in the North of England,5408,442,D
5410,8,74,Phrases with for + noun to express possession: for-phrase following possessed NP,nayf for Chinyere ‘Chinyereʼs knife’; aa kau fe mais bradhas ‘that cow of my brother’; the house for me ‘my house’,1,L1t,EA,East Anglian English,5410,442,D
5411,9,74,Phrases with for + noun to express possession: for-phrase following possessed NP,nayf for Chinyere ‘Chinyereʼs knife’; aa kau fe mais bradhas ‘that cow of my brother’; the house for me ‘my house’,1,L1t,SE,English dialects in the Southeast of England,5411,442,D
5412,10,74,Phrases with for + noun to express possession: for-phrase following possessed NP,nayf for Chinyere ‘Chinyereʼs knife’; aa kau fe mais bradhas ‘that cow of my brother’; the house for me ‘my house’,2,L1c,ChIsE,Channel Islands English,5412,442,D
5414,12,74,Phrases with for + noun to express possession: for-phrase following possessed NP,nayf for Chinyere ‘Chinyereʼs knife’; aa kau fe mais bradhas ‘that cow of my brother’; the house for me ‘my house’,2,L1c,MaltE,Maltese English,5414,442,D
5415,13,74,Phrases with for + noun to express possession: for-phrase following possessed NP,nayf for Chinyere ‘Chinyereʼs knife’; aa kau fe mais bradhas ‘that cow of my brother’; the house for me ‘my house’,1,L1t,NfldE,Newfoundland English,5415,442,D
5417,15,74,Phrases with for + noun to express possession: for-phrase following possessed NP,nayf for Chinyere ‘Chinyereʼs knife’; aa kau fe mais bradhas ‘that cow of my brother’; the house for me ‘my house’,2,L1c,UAAVE,Urban African American Vernacular English,5417,442,D
5419,17,74,Phrases with for + noun to express possession: for-phrase following possessed NP,nayf for Chinyere ‘Chinyereʼs knife’; aa kau fe mais bradhas ‘that cow of my brother’; the house for me ‘my house’,2,L1c,EAAVE,Earlier African American Vernacular English,5419,442,D
5421,19,74,Phrases with for + noun to express possession: for-phrase following possessed NP,nayf for Chinyere ‘Chinyereʼs knife’; aa kau fe mais bradhas ‘that cow of my brother’; the house for me ‘my house’,1,L1t,AppE,Appalachian English,5421,442,D
5422,20,74,Phrases with for + noun to express possession: for-phrase following possessed NP,nayf for Chinyere ‘Chinyereʼs knife’; aa kau fe mais bradhas ‘that cow of my brother’; the house for me ‘my house’,1,L1t,SEAmE,Southeast American enclave dialects,5422,442,D
5425,23,74,Phrases with for + noun to express possession: for-phrase following possessed NP,nayf for Chinyere ‘Chinyereʼs knife’; aa kau fe mais bradhas ‘that cow of my brother’; the house for me ‘my house’,2,L1c,BahE,Bahamian English,5425,442,D
5428,26,74,Phrases with for + noun to express possession: for-phrase following possessed NP,nayf for Chinyere ‘Chinyereʼs knife’; aa kau fe mais bradhas ‘that cow of my brother’; the house for me ‘my house’,3,L2,JamE,Jamaican English,5428,442,D
